Hotell Vinterland,true,false,false,5,1793,366,false
Sjöstjärnans Gästhus,true,true,false,5,1179,1077,true
Frostfjället Resort,true,true,true,1,1933,3276,false
Skogsängens Värdshus,false,false,true,4,796,372,false
Klippans Hotell,false,false,false,1,804,2287,false
Fjäderholmarnas Retreat,true,true,false,2,1426,3844,false
Stjärnfall Inn,true,false,false,2,1433,1637,true
Fjälltoppen Lodge,false,false,true,5,1430,775,false
Göta Kanal Hotel,true,true,true,3,1617,1241,true
Havsbrisens Gästhus,false,false,true,3,1425,3760,false
Tallskogens Resort,true,false,true,2,104,547,true
Norrskenets Värdshus,false,false,true,3,1704,3207,false
Solsidan Hotell,false,true,false,3,1478,24,true
Blomsterängens Gästhus,true,true,false,3,1730,3352,false
Bergslagens Lodge,true,true,false,3,1180,344,true
Dalsland Strandhotell,true,false,true,4,77,1888,true
Lugnets Retreat,true,false,false,1,184,2976,false
Skärgårdsholmens Resort,false,false,true,3,791,64,false
Kullens Gästhus,false,false,true,4,1174,1406,true
Hjortronskogens Hotell,true,true,false,2,1762,3983,false
